cgpa,internships,projects_count,github_activity_score,leetcode_rating,codechef_rating,coding_score,aptitude_score,communication_score,attendance_percentage,certifications_count,project_impact_score,certification_impact_score,placement_score
8.1,0,1,46,1717,1689,24.0,40,58,73,1,38,63,69.56
7.3,0,3,75,1935,1989,31.0,62,58,76,2,45,60,73.42
8.3,1,5,60,0,900,5.7,64,89,76,1,91,68,85.5
9.3,1,2,29,0,900,2.7,48,100,81,3,98,50,85.53
7.2,0,0,13,1270,954,6.7,73,66,90,3,54,32,63.73
7.2,2,3,59,0,900,2.7,68,62,67,1,81,41,73.33
9.4,2,2,28,1240,0,6.2,57,49,82,4,18,67,73.92
8.4,3,4,86,1756,2066,30.0,74,42,77,1,52,95,90.98
6.9,1,2,41,1690,1776,24.8,53,78,81,1,39,54,67.99
8.2,0,4,80,1462,0,11.4,74,40,100,2,91,71,78.75
6.9,1,5,58,1453,1248,14.3,51,70,65,3,97,89,80.53
6.9,5,1,15,1208,1333,9.4,88,98,84,2,77,74,85.66
7.8,1,4,61,1973,2184,33.8,49,46,88,0,78,65,81.97
5.2,2,1,15,2107,2029,34.2,57,24,67,2,34,67,58.51
5.4,0,3,61,1835,0,23.3,44,63,75,3,49,45,63.52
6.8,1,2,50,1695,1671,23.6,69,80,72,6,100,84,85.32
6.3,0,4,54,0,900,2.9,39,42,92,1,47,70,60.18
7.9,1,1,31,1676,1666,22.1,57,78,78,5,36,25,73.88
6.4,4,5,100,1599,1581,19.7,35,78,61,0,72,56,86.21
5.8,4,3,61,971,0,5.8,69,63,100,1,87,50,78.33
9.3,1,1,31,1357,1545,15.1,70,61,94,0,88,37,75.02
7.2,1,1,41,1745,0,20.4,62,74,87,1,67,58,66.98
7.6,4,3,71,1245,0,7.8,50,53,75,2,72,52,83.76
5.8,2,4,80,1546,1643,20.1,72,56,67,2,70,86,76.68
6.8,0,2,32,1847,1893,30.7,43,54,75,3,57,64,64.41
7.6,1,1,35,0,900,3.0,46,66,87,3,66,40,67.54
6.1,0,2,29,0,900,2.5,72,60,76,4,57,90,60.65
8.0,1,6,81,1851,1607,25.0,69,63,72,3,100,40,91.48
6.8,1,3,53,1781,0,20.8,69,56,63,2,42,99,72.42
7.1,1,4,36,1585,2043,26.3,100,70,68,3,47,65,83.52
6.8,1,0,15,0,900,3.6,63,48,64,2,52,45,57.68
9.7,0,3,35,1739,1997,29.4,52,55,79,1,44,67,74.67
7.5,1,2,16,1427,1084,11.2,57,80,86,1,86,58,75.22
6.2,3,4,69,2010,2108,33.2,22,72,65,1,78,36,82.44
8.5,2,0,6,1022,0,4.1,66,53,61,2,72,49,66.13
6.0,1,3,49,1520,0,13.6,85,45,78,3,53,87,72.34
7.8,4,2,30,1358,1172,11.9,53,51,75,3,33,69,77.44
5.1,3,1,12,1704,1472,20.9,83,25,81,5,65,47,70.11
5.9,0,3,47,0,0,0.0,42,72,63,3,75,79,59.27
7.7,0,2,13,0,900,2.0,46,68,89,2,86,69,67.21
8.4,2,3,44,1398,922,7.7,45,50,82,1,67,24,70.32
7.7,3,2,63,0,900,1.9,33,73,89,0,70,71,75.45
7.4,4,2,16,2225,0,33.2,86,75,73,1,81,78,89.65
7.1,3,4,79,1774,1337,21.0,69,59,88,0,68,43,86.4
5.7,2,3,77,0,900,2.3,71,63,72,1,64,63,75.27
6.6,1,3,34,1200,1646,14.9,46,66,87,3,45,95,67.64
6.9,0,6,86,800,1192,6.3,74,59,72,0,84,38,77.95
8.8,0,2,14,1158,949,5.7,50,66,58,1,45,80,67.56
7.9,1,5,48,1668,0,15.8,51,69,86,2,94,80,80.65
5.4,2,3,48,1421,0,10.9,79,59,71,2,75,41,69.5
7.9,1,0,16,1327,0,10.3,44,56,87,2,31,32,59.07
7.0,2,1,13,1282,900,7.5,42,51,61,0,46,42,55.67
6.7,1,2,17,1748,2130,31.7,39,85,60,2,65,40,67.72
8.2,1,4,46,1400,1538,15.9,57,58,73,2,47,45,75.07
8.7,0,2,47,1369,1554,17.1,97,45,78,3,73,75,81.28
8.6,1,6,95,1798,1931,28.7,55,84,60,1,72,66,95.99
6.5,2,3,55,1968,1918,31.6,36,58,71,1,56,67,71.2
7.1,2,4,52,1165,1043,7.1,48,59,66,3,100,55,76.16
7.9,5,7,77,1853,1844,28.8,51,62,78,4,74,100,98.0
8.7,1,3,65,0,900,3.4,60,85,100,3,92,89,93.0
6.9,1,3,70,1466,1471,17.2,66,44,73,2,90,62,76.01
7.3,1,1,14,1775,2200,31.8,22,78,71,2,83,69,69.76
6.2,1,3,43,0,900,4.1,37,63,79,1,51,59,62.57
6.1,3,2,11,1696,1323,17.8,36,72,97,4,57,68,70.2
8.5,2,4,66,1506,0,14.4,78,57,66,2,89,73,87.56
9.1,3,4,89,1518,1478,20.1,41,100,78,0,67,51,96.28
7.4,0,1,36,1700,2047,28.9,65,59,100,4,49,54,77.3
8.7,3,4,91,1171,0,6.0,68,64,71,0,92,57,93.59
7.9,0,4,52,0,900,2.6,50,48,72,1,67,47,67.4
6.7,3,2,14,0,900,2.0,16,57,87,1,82,50,61.96
7.9,1,5,92,0,900,2.1,81,49,96,1,81,30,83.44
9.3,1,1,24,1157,1155,6.9,83,100,97,1,53,62,81.76
7.5,1,3,32,2124,2174,36.1,59,33,76,0,16,57,67.0
9.4,4,1,50,1850,1843,29.6,47,30,68,1,54,59,80.06
4.4,0,2,24,1797,1744,26.5,92,43,71,2,76,52,62.45
8.5,1,2,17,1453,2053,24.9,47,70,67,0,49,57,75.21
7.6,3,1,31,0,900,1.7,74,84,78,2,33,62,76.75
7.1,1,0,0,1008,1476,10.2,33,62,84,3,59,51,55.51
7.6,0,1,37,1340,2061,21.9,68,56,79,2,46,78,67.82
5.1,1,3,28,1623,1944,25.0,36,54,73,0,41,26,61.21
7.2,1,5,73,1845,1727,25.4,66,73,87,2,99,74,86.4
7.9,3,3,50,1628,1848,24.4,60,44,83,0,69,58,83.85
9.3,2,4,61,1636,2113,27.9,53,83,82,0,83,64,90.09
6.9,1,1,2,1448,1581,16.0,52,30,86,0,44,46,53.49
6.5,5,1,19,1694,1607,22.3,79,55,81,4,55,55,84.06
6.9,1,3,66,1227,1570,13.8,58,58,76,1,80,47,74.34
8.6,0,5,66,1537,1218,14.9,67,42,65,4,68,77,81.29
7.9,1,6,64,1431,1466,16.4,100,63,74,3,38,64,86.22
6.9,1,3,39,1933,2122,32.4,37,53,70,3,60,46,73.08
8.1,0,1,3,800,0,4.8,46,67,95,1,57,54,59.32
